Subject,Grade,Super Category,Category Code,Category Name,Skill Code,Permacode,Skill ID,Skill Name,Question Preview URL,URL
Maths,Reception,,A,Count to 3,A.10,ZYJ,2002012510,Represent numbers - up to 3,https://www.ixl.com/screenshot/9bcfc8f268ea7f9d78eb72936a2cfaf8b75e7b0a.png,https://uk.ixl.com/maths/reception/represent-numbers-up-to-3
Maths,Reception,,A,Count to 3,A.10,ZYJ,2002012510,Represent numbers - up to 3,https://www.ixl.com/screenshot/9bcfc8f268ea7f9d78eb72936a2cfaf8b75e7b0a.png,https://uk.ixl.com/maths/reception/represent-numbers-up-to-3
Maths,Reception,,A,Count to 3,A,ZYJ,2002012510,Represent numbers - up to 3,https://www.ixl.com/screenshot/9bcfc8f268ea7f9d78eb72936a2cfaf8b75e7b0a.png,https://uk.ixl.com/maths/reception/represent-numbers-up-to-3
Maths,Reception,,B,Count to 5,B.1,6HM,2020055915,Identify numbers - up to 5,https://www.ixl.com/screenshot/d0b96c2da7c216d58e13eed02beae9d2a76adf54.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-5
Maths,Reception,,B,Count to 5,B.1,6HM,2020055915,Identify numbers - up to 5,https://www.ixl.com/screenshot/d0b96c2da7c216d58e13eed02beae9d2a76adf54.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-5
Maths,Reception,,B,Count to 5,B,6HM,2020055915,Identify numbers - up to 5,https://www.ixl.com/screenshot/d0b96c2da7c216d58e13eed02beae9d2a76adf54.png,https://uk.ixl.com/maths/reception/identify-numbers-up-to-5
Maths,Reception,,B,Count to 5,B.2,J6E,2020651117,Choose the number that you hear - up to 5,https://www.ixl.com/screenshot/079dc41e702ecdd97ad3aeffcd475967b0a4a6ca.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-5
Maths,Reception,,B,Count to 5,B.2,J6E,2020651117,Choose the number that you hear - up to 5,https://www.ixl.com/screenshot/079dc41e702ecdd97ad3aeffcd475967b0a4a6ca.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-5
Maths,Reception,,B,Count to 5,B,J6E,2020651117,Choose the number that you hear - up to 5,https://www.ixl.com/screenshot/079dc41e702ecdd97ad3aeffcd475967b0a4a6ca.png,https://uk.ixl.com/maths/reception/choose-the-number-that-you-hear-up-to-5
Maths,Reception,,B,Count to 5,B.3,CH9,2020008722,Learn to count - up to 5,https://www.ixl.com/screenshot/9ca170b8b5ab7b898a30e527480224bf2ed870d5.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-5
Maths,Reception,,B,Count to 5,B.3,CH9,2020008722,Learn to count - up to 5,https://www.ixl.com/screenshot/9ca170b8b5ab7b898a30e527480224bf2ed870d5.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-5
Maths,Reception,,B,Count to 5,B,CH9,2020008722,Learn to count - up to 5,https://www.ixl.com/screenshot/9ca170b8b5ab7b898a30e527480224bf2ed870d5.png,https://uk.ixl.com/maths/reception/learn-to-count-up-to-5
Maths,Reception,,B,Count to 5,B.4,VB5,2002012513,Count objects - up to 5,https://www.ixl.com/screenshot/c9701786360194900c71db4a8a3739ad23e7e9df.png,https://uk.ixl.com/maths/reception/count-objects-up-to-5
Maths,Reception,,B,Count to 5,B.4,VB5,2002012513,Count objects - up to 5,https://www.ixl.com/screenshot/c9701786360194900c71db4a8a3739ad23e7e9df.png,https://uk.ixl.com/maths/reception/count-objects-up-to-5
Maths,Reception,,B,Count to 5,B,VB5,2002012513,Count objects - up to 5,https://www.ixl.com/screenshot/c9701786360194900c71db4a8a3739ad23e7e9df.png,https://uk.ixl.com/maths/reception/count-objects-up-to-5
